Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
59579811,"Moderne Führung braucht Frei(Raum) – Wie Führungskräfte zwischen Krisen, dezentraler Führung und den Gesetzen der modernen Arbeitswelt erfolgreich handeln können",Isabel Freitag,"Freitag, Isabel",,"=""""","=""9783753168456""",1,1.00,epubli,Hardcover,164,2021,,,2022/11/03,,,read,,,,1,0
45245,"The Reality Dysfunction (Night's Dawn, #1)",Peter F. Hamilton,"Hamilton, Peter F.",,"=""0330340328""","=""9780330340328""",0,4.13,Pan Books,Mass Market Paperback,1223,1997,1996,,2022/10/28,to-read,to-read (#1),to-read,,,,0,0
18197267,"Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability",Steve Krug,"Krug, Steve",,"=""0321965515""","=""9780321965516""",3,4.24,New Riders Publishing,Paperback,200,2013,2000,,2022/10/28,,,read,,,,1,0
57891574,Ed,qntm,"qntm, qntm",Sam  Hughes,"=""""","=""""",3,4.08,,Kindle Edition,146,,2013,,2022/10/28,,,read,,,,2,0
57891607,Ra,qntm,"qntm, qntm",Sam  Hughes,"=""""","=""""",4,4.10,,Kindle Edition,504,,2014,,2022/10/28,,,read,,,,1,0
997969,The Eye Of Shiva: Eastern Mysticism And Science,Amaury De Riencourt,"Riencourt, Amaury De",,"=""0688000363""","=""9780688000363""",2,4.17,Morrow,Hardcover,,1981,1980,,2022/10/19,,,read,,,,1,0
18290401,Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered,Austin Kleon,"Kleon, Austin",,"=""076117897X""","=""9780761178972""",4,4.11,Workman Publishing Company,Paperback,215,2014,2014,,2022/10/10,,,read,,,,1,0
64218,"Eric (Discworld, #9; Rincewind, #4)",Terry Pratchett,"Pratchett, Terry",,"=""0380821214""","=""9780380821211""",3,3.77,Harper,Mass Market Paperback,197,2008,1990,,2022/10/10,,,read,,,,2,0
89187,"Revelation Space (Revelation Space, #1)",Alastair Reynolds,"Reynolds, Alastair",,"=""0441009425""","=""9780441009428""",5,3.99,Ace Books,Mass Market Paperback,585,2002,2000,,2022/09/22,,,read,,,,1,0
34506,"The Light Fantastic (Discworld, #2; Rincewind, #2)",Terry Pratchett,"Pratchett, Terry",,"=""0061020702""","=""9780061020704""",4,3.99,HarperTorch,Mass Market Paperback,277,2000,1986,,2022/09/22,,,read,,,,1,0
16902,Walden,Henry David Thoreau,"Thoreau, Henry David",Bill McKibben,"=""""","=""""",4,3.78,Princeton University Press,Paperback,352,2004,1854,,2022/09/22,,,read,,,,1,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",5,4.52,Ballantine Books,Hardcover,476,2021,2021,,2022/09/01,,,read,,,,1,0
32969945,"Dornen und Rosen (Das Reich der sieben Höfe, #1)",Sarah J. Maas,"Maas, Sarah J.",Alexandra Ernst,"=""3423761636""","=""9783423761635""",1,4.20,dtv Verlag,Hardcover,480,2017,2015,,2022/08/02,,,read,,,,1,0
5771014,"The Talent Code: Unlocking the Secret of Skill in Sports, Art, Music, Math, and Just About Everything Else",Daniel Coyle,"Coyle, Daniel",John Farrell,"=""1598878735""","=""9781598878738""",2,4.03,HighBridge Company,Audio CD,288,2009,2009,,2022/07/30,,,read,,,,1,0
3228917,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316017922""","=""9780316017923""",4,4.19,"Little, Brown and Company",Hardcover,309,2008,2008,,2022/07/30,,,read,,,,1,0
3347,The Basque History of the World: The Story of a Nation,Mark Kurlansky,"Kurlansky, Mark",,"=""0140298517""","=""9780140298512""",4,3.87,Penguin Books,Paperback,400,2001,1999,,2022/07/30,,,read,,,,1,0
34497,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0060855924""","=""9780060855925""",4,4.00,Harper,Paperback,228,2005,1983,,2022/07/30,,,read,,,,1,0
50937,"First, Break All the Rules: What the World's Greatest Managers Do Differently",Marcus Buckingham,"Buckingham, Marcus",Curt Coffman,"=""0684852861""","=""9780684852867""",4,3.94,Gallup Press,Hardcover,272,1999,1998,,2022/07/30,,,read,,,,1,0
43582733,Stillness Is the Key,Ryan Holiday,"Holiday, Ryan",,"=""0525538585""","=""9780525538585""",5,4.22,Portfolio,Hardcover,288,2019,2019,,2022/07/13,,,read,,,,1,0
9167158,"Start Small, Stay Small: A Developer's Guide to Launching a Startup",Rob Walling,"Walling, Rob",Mike Taber,"=""""","=""""",3,3.96,,Kindle Edition,214,,2010,,2022/07/03,,,read,,,,1,0
34502,"Soul Music (Discworld, #16; Death, #3)",Terry Pratchett,"Pratchett, Terry",,"=""057506689X""","=""9780575066892""",4,4.04,Gollancz,Hardcover,424,1999,1994,,2022/07/03,,,read,,,,1,0
1966046,Grundlegung zur Metaphysik der Sitten,Immanuel Kant,"Kant, Immanuel",,"=""315004507X""","=""9783150045077""",2,3.84,Reclam,Paperback,133,2008,1785,,2022/06/25,,,read,,,,1,0
47994,"The Last Continent (Discworld, #22; Rincewind, #6)",Terry Pratchett,"Pratchett, Terry",,"=""0552154180""","=""9780552154185""",3,3.99,Corgi,Paperback,416,2006,1998,,2022/06/20,,,read,,,,1,0
54983,Oranges,John McPhee,"McPhee, John",,"=""0141182032""","=""9780141182032""",3,4.06,Penguin,Paperback,160,2000,1967,,2022/06/09,,,read,,,,1,0
833015,SPIN Selling: Situation Problem Implication Need-payoff,Neil Rackham,"Rackham, Neil",,"=""0070511136""","=""9780070511132""",3,3.98,McGraw-Hill Companies,Hardcover,216,1988,1988,,2022/01/08,,,read,,,,1,0
48593951,kontiki,Thor Heyerdahl,"Heyerdahl, Thor",,"=""9781476753""","=""""",5,4.14,,,,,1948,,2022/06/05,,,read,,,,1,0
34484,"Small Gods (Discworld, #13)",Terry Pratchett,"Pratchett, Terry",,"=""0552152978""","=""9780552152976""",3,4.31,Corgi,Paperback,400,2005,1992,,2022/06/03,,,read,,,,1,0
116296,"Making Money (Discworld, #36; Moist Von Lipwig, #2)",Terry Pratchett,"Pratchett, Terry",,"=""0061161640""","=""9780061161643""",4,4.25,Harper,Hardcover,394,2007,2007,,2022/05/23,,,read,,,,1,0
34511,"Monstrous Regiment (Discworld, #31; Industrial Revolution, #3)",Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",4,4.21,,Paperback,496,2003,2003,,2022/05/19,,,read,,,,1,0
39318922,Der Graf von Monte Christo,Alexandre Dumas,"Dumas, Alexandre",,"=""""","=""9783958705005""",3,4.28,NEXX,Library Binding,178,2016,1844,,2022/05/07,,,read,,,,1,0
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",4,4.41,Crown,Hardcover,384,2014,2011,,2022/04/10,,,read,,,,1,0
942337,Wilhelm Tell,Friedrich Schiller,"Schiller, Friedrich",,"=""""","=""""",4,3.27,Reclam Philipp Jun.,Paperback,144,2000,1804,2022/03/05,2022/03/05,,,read,,,,1,0
24113,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,"Hofstadter, Douglas R.",,"=""0465026567""","=""9780465026562""",3,4.29,Basic Books,Paperback,756,1999,1979,2022/03/05,2022/03/05,,,read,,,,1,0
6547576,Just Listen: Discover the Secret to Getting Through to Absolutely Anyone,Mark Goulston,"Goulston, Mark",Keith Ferrazzi,"=""0814414036""","=""9780814414033""",4,4.04,AMACOM,Hardcover,234,2009,2009,2022/02/24,2022/02/27,,,read,,,,1,0
1501477,"Der letzte Wunsch (Hexer, #1)",Andrzej Sapkowski,"Sapkowski, Andrzej",Erik Simon,"=""3423209933""","=""9783423209939""",2,4.14,Deutscher Taschenbuch Verlag,Paperback,384,2007,1993,2022/02/23,2022/02/27,,,read,,,,1,0
262359,The Wind from Nowhere,J.G. Ballard,"Ballard, J.G.",David Pelham,"=""014002591X""","=""9780140025910""",4,3.27,Penguin Books,Paperback,192,1976,1962,2022/02/18,2022/02/21,,,read,,,,2,0
55536485,The Cafe on the Edge of the World: A Story About the Meaning of Life,John P. Strelecky,"Strelecky, John P.",,"=""""","=""""",1,3.60,,Kindle Edition,,2020,2003,2022/02/19,2022/02/21,,,read,,,,1,0
260218,Million Dollar Consulting: the Professional's Guide to Growing a Practice,Alan Weiss,"Weiss, Alan",,"=""007138703X""","=""9780071387033""",4,3.84,McGraw-Hill,Paperback,358,2003,1992,2022/01/16,2022/01/08,,,read,,,,1,0
139069,Endurance: Shackleton's Incredible Voyage,Alfred Lansing,"Lansing, Alfred",,"=""""","=""""",5,4.41,Carroll & Graf Publishers,Hardcover,282,1999,1959,2022/02/05,2022/02/05,,,read,,,,1,0
7039888,Don't Just Roll the Dice - a usefully short guide to software pricing,Neil  Davidson,"Davidson, Neil",,"=""1906434387""","=""9781906434380""",4,3.66,Red Gate Books,Paperback,84,2009,2009,2022/02/04,2022/02/05,,,read,,,,1,0
